match_scope	top_type	cutoff	ranking_method	ranking_label	n_patients	median_delta_hit_rate_vs_ic50_pct_points	patients_better_than_ic50	patients_same_as_ic50	patients_worse_than_ic50
relaxed_min8_peptide_cov50	topn	10	borda	Borda	30	0.0	11	12	7
relaxed_min8_peptide_cov50	topn	10	depmap_survivability	DepMap survivability	30	0.0	9	14	7
relaxed_min8_peptide_cov50	topn	10	net_betweenness	Network betweenness	30	0.0	6	16	8
relaxed_min8_peptide_cov50	topn	10	net_degree	Network degree	30	0.0	10	16	4
relaxed_min8_peptide_cov50	topn	10	net_impact	Network impact	30	0.0	11	13	6
relaxed_min8_peptide_cov50	topn	10	net_strength	Network strength	30	0.0	12	12	6
relaxed_min8_peptide_cov50	topn	10	net_wci	Network WCI	30	0.0	8	16	6
relaxed_min8_peptide_cov50	topn	20	borda	Borda	30	0.0	11	12	7
relaxed_min8_peptide_cov50	topn	20	depmap_survivability	DepMap survivability	30	0.0	9	13	8
relaxed_min8_peptide_cov50	topn	20	net_betweenness	Network betweenness	30	0.0	13	10	7
relaxed_min8_peptide_cov50	topn	20	net_degree	Network degree	30	0.0	13	9	8
relaxed_min8_peptide_cov50	topn	20	net_impact	Network impact	30	0.0	13	11	6
relaxed_min8_peptide_cov50	topn	20	net_strength	Network strength	30	0.0	13	11	6
relaxed_min8_peptide_cov50	topn	20	net_wci	Network WCI	30	0.0	12	12	6
relaxed_min8_peptide_cov50	topn	30	borda	Borda	30	0.0	9	16	5
relaxed_min8_peptide_cov50	topn	30	depmap_survivability	DepMap survivability	30	0.0	9	14	7
relaxed_min8_peptide_cov50	topn	30	net_betweenness	Network betweenness	30	0.0	7	19	4
relaxed_min8_peptide_cov50	topn	30	net_degree	Network degree	30	0.0	9	14	7
relaxed_min8_peptide_cov50	topn	30	net_impact	Network impact	30	0.0	8	16	6
relaxed_min8_peptide_cov50	topn	30	net_strength	Network strength	30	0.0	7	18	5
relaxed_min8_peptide_cov50	topn	30	net_wci	Network WCI	30	0.0	6	16	8
relaxed_min8_peptide_cov50	topn	40	borda	Borda	30	0.0	7	18	5
relaxed_min8_peptide_cov50	topn	40	depmap_survivability	DepMap survivability	30	0.0	7	16	7
relaxed_min8_peptide_cov50	topn	40	net_betweenness	Network betweenness	30	0.0	7	18	5
relaxed_min8_peptide_cov50	topn	40	net_degree	Network degree	30	0.0	8	20	2
relaxed_min8_peptide_cov50	topn	40	net_impact	Network impact	30	0.0	7	19	4
relaxed_min8_peptide_cov50	topn	40	net_strength	Network strength	30	0.0	9	18	3
relaxed_min8_peptide_cov50	topn	40	net_wci	Network WCI	30	0.0	4	20	6
relaxed_min8_peptide_cov50	topn	50	borda	Borda	30	0.0	7	19	4
relaxed_min8_peptide_cov50	topn	50	depmap_survivability	DepMap survivability	30	0.0	7	18	5
relaxed_min8_peptide_cov50	topn	50	net_betweenness	Network betweenness	30	0.0	6	20	4
relaxed_min8_peptide_cov50	topn	50	net_degree	Network degree	30	0.0	9	19	2
relaxed_min8_peptide_cov50	topn	50	net_impact	Network impact	30	0.0	8	20	2
relaxed_min8_peptide_cov50	topn	50	net_strength	Network strength	30	0.0	8	20	2
relaxed_min8_peptide_cov50	topn	50	net_wci	Network WCI	30	0.0	6	20	4
