file	category	hla_original	count
iedb_tcell	human_classical_class_II_DR	HLA-DR51	18
iedb_tcell	human_classical_class_II_DR	HLA-DR12	18
iedb_tcell	human_classical_class_I_C	HLA-Cw4	18
iedb_mhc_ligand	human_classical_class_I_C	HLA-Cw1	17
iedb_tcell	human_classical_class_I_C	HLA-Cw7	16
cedar_mhc_ligand	human_classical_class_II_DQ	HLA-DQ7	15
iedb_mhc_ligand	human_classical_class_II_DR	HLA-DR52	15
cedar_mhc_ligand	human_classical_class_I_C	HLA-Cw7	14
iedb_mhc_ligand	human_classical_class_I_C	HLA-Cw7	14
cedar_tcell	human_classical_class_I_C	HLA-Cw7	13
cedar_tcell	human_classical_class_II_DR	HLA-DR16	13
cedar_tcell	human_classical_class_II_DR	HLA-DR51	13
cedar_tcell	human_classical_class_II_DQ	HLA-DQ6	12
cedar_tcell	human_classical_class_II_DR	HLA-DR14	12
iedb_tcell	human_classical_class_I_A	HLA-A	12
cedar_mhc_ligand	human_classical_class_II_DR	HLA-DR53	11
cedar_tcell	human_classical_class_II_DR	HLA-DR12	11
cedar_tcell	human_classical_class_I_A	HLA-A	11
cedar_mhc_ligand	human_classical_class_II_DR	HLA-DR9	10
iedb_tcell	human_classical_class_I_C	HLA-Cw12	10
cedar_mhc_ligand	human_classical_class_II_DR	HLA-DR6	9
cedar_tcell	human_classical_class_II_DQ	HLA-DQ2	9
iedb_tcell	human_classical_class_II_DP	HLA-DPw5	9
cedar_mhc_ligand	human_classical_class_II_DR	HLA-DR14	8
cedar_tcell	human_classical_class_II_DQ	HLA-DQ5	8
cedar_tcell	human_classical_class_II_DR	HLA-DR6	7
cedar_tcell	human_classical_class_II_DP	HLA-DPw5	7
cedar_mhc_ligand	human_classical_class_I_C	HLA-Cw1	6
cedar_tcell	human_classical_class_II_DR	HLA-DR17	6
cedar_tcell	human_classical_class_II_DR	HLA-DR8	6
iedb_tcell	human_classical_class_II_DQ	HLA-DQ3	6
iedb_tcell	human_nonclassical_class_I_EFG	HLA-G	5
cedar_tcell	human_classical_class_I_C	HLA-Cw12	4
cedar_tcell	human_nonclassical_class_I_EFG	HLA-G	4
iedb_mhc_ligand	human_classical_class_I_C	HLA-Cw3	4
iedb_tcell	human_classical_class_II_DR	HLA-DR10	4
cedar_mhc_ligand	human_classical_class_I_C	HLA-Cw3	3
cedar_tcell	human_classical_class_II_DR	HLA-DR5	3
cedar_tcell	human_classical_class_I_C	HLA-Cw8	3
iedb_mhc_ligand	human_classical_class_II_DQ	HLA-DQ1	3
iedb_mhc_ligand	human_classical_class_II_DQ	HLA-DQ5	3
iedb_tcell	human_classical_class_II_DP	HLA-DPw3	3
iedb_tcell	human_classical_class_I_C	HLA-Cw8	3
cedar_mhc_ligand	human_classical_class_I_C	HLA-Cw2	2
cedar_tcell	human_classical_class_I_C	HLA-Cw2	2
cedar_tcell	human_classical_class_I_C	HLA-Cw1	2
iedb_mhc_ligand	human_classical_class_I_C	HLA-Cw2	2
iedb_tcell	human_classical_class_II_DQ	HLA-DQ9	2
iedb_tcell	human_classical_class_I_C	HLA-Cw2	2
iedb_tcell	human_classical_class_I_C	HLA-Cw1	2
