endpoint	endpoint_label	match_scope	match_scope_label	top_type	cutoff	ranking_method	ranking_label	ranking_column	ranking_direction	n_patients	median_delta_hit_rate_vs_ic50	mean_delta_hit_rate_vs_ic50	median_delta_hits_vs_ic50	sum_delta_hits_vs_ic50	patients_better_than_ic50	patients_same_as_ic50	patients_worse_than_ic50	median_method_hit_rate	median_ic50_hit_rate
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	40	net_wci	Network WCI	Net_WCI	higher_better	30	0.0	0.002904219075769326	0.0	1	6	19	5	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	40	tumor_dna_vaf	Tumor DNA VAF	Tumor DNA VAF	higher_better	30	0.0	0.0014312463783455844	0.0	0	5	21	4	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	50	borda	Borda	Borda_Rank	lower_better	30	0.0	0.005797570619473627	0.0	6	6	21	3	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	50	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.0	0.005944949268753453	0.0	3	6	20	4	0.004464285714285714	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	50	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.0	0.006174974811006668	0.0	1	6	19	5	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	50	net_degree	Network degree	Net_Degree	higher_better	30	0.0	0.007161110171572501	0.0	5	7	18	5	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	50	net_impact	Network impact	Net_Impact	higher_better	30	0.0	0.007309244729732166	0.0	6	6	21	3	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	50	net_strength	Network strength	Net_Strength	higher_better	30	0.0	0.006744272978319737	0.0	5	6	20	4	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	50	net_wci	Network WCI	Net_WCI	higher_better	30	0.0	0.0037611932758483215	0.0	3	5	21	4	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	50	tumor_dna_vaf	Tumor DNA VAF	Tumor DNA VAF	higher_better	30	0.0	0.004398685940271971	0.0	2	7	20	3	0.0	0.0
