MHC_Class	n_all_candidates	median_length_all	q1_length_all	q3_length_all	n_top10_candidates	median_length_top10	q1_length_top10	q3_length_top10	n_non_top10_candidates	median_length_non_top10	q1_length_non_top10	q3_length_non_top10	mannwhitney_top10_vs_non_top10_p	spearman_n_length_vs_class_rank_percentile	spearman_rho_length_vs_class_rank_percentile	spearman_p_length_vs_class_rank_percentile	spearman_n_length_vs_overall_rank_percentile	spearman_rho_length_vs_overall_rank_percentile	spearman_p_length_vs_overall_rank_percentile	max_length_all	max_length_top10
MHC I	1069	11.0	9.0	13.0	117	11.0	9.0	13.0	952	11.0	9.0	13.0	0.24626634884754584	1069	-0.030901249812159238	0.31278626660069087	1069	-0.05455509647180395	0.07459431753257922	15	15
MHC II	1219	24.0	16.0	29.0	179	25.0	15.0	28.0	1040	24.0	16.0	29.0	0.362070113088655	1219	0.020857221127959433	0.4668922576207354	1219	0.02816631431964022	0.3258093495792161	30	30
