sample_id	criterion	criterion_label	cutoff_type	cutoff	method	hit_rate
TCGA-BF-A1PV	min8_cov80	Min-8 + >=80% coverage	Top-percentile	20	IC50-only	0.0
TCGA-BF-A3DJ	min8	Min-8 containment	Top-N	10	Borda	0.4
TCGA-BF-A3DJ	min8	Min-8 containment	Top-N	20	Borda	0.3
TCGA-BF-A3DJ	min8	Min-8 containment	Top-N	50	Borda	0.37142857142857144
TCGA-BF-A3DJ	min8	Min-8 containment	Top-percentile	1	Borda	1.0
TCGA-BF-A3DJ	min8	Min-8 containment	Top-percentile	5	Borda	1.0
TCGA-BF-A3DJ	min8	Min-8 containment	Top-percentile	10	Borda	0.5
TCGA-BF-A3DJ	min8	Min-8 containment	Top-percentile	20	Borda	0.5714285714285714
TCGA-BF-A3DJ	min8	Min-8 containment	Top-N	10	IC50-only	0.5
TCGA-BF-A3DJ	min8	Min-8 containment	Top-N	20	IC50-only	0.45
TCGA-BF-A3DJ	min8	Min-8 containment	Top-N	50	IC50-only	0.37142857142857144
TCGA-BF-A3DJ	min8	Min-8 containment	Top-percentile	1	IC50-only	1.0
TCGA-BF-A3DJ	min8	Min-8 containment	Top-percentile	5	IC50-only	1.0
TCGA-BF-A3DJ	min8	Min-8 containment	Top-percentile	10	IC50-only	1.0
TCGA-BF-A3DJ	min8	Min-8 containment	Top-percentile	20	IC50-only	0.5714285714285714
TCGA-BF-A3DJ	min8_cov50	Min-8 + >=50% coverage	Top-N	10	Borda	0.0
TCGA-BF-A3DJ	min8_cov50	Min-8 + >=50% coverage	Top-N	20	Borda	0.05
TCGA-BF-A3DJ	min8_cov50	Min-8 + >=50% coverage	Top-N	50	Borda	0.08571428571428572
TCGA-BF-A3DJ	min8_cov50	Min-8 + >=50% coverage	Top-percentile	1	Borda	0.0
TCGA-BF-A3DJ	min8_cov50	Min-8 + >=50% coverage	Top-percentile	5	Borda	0.0
TCGA-BF-A3DJ	min8_cov50	Min-8 + >=50% coverage	Top-percentile	10	Borda	0.0
TCGA-BF-A3DJ	min8_cov50	Min-8 + >=50% coverage	Top-percentile	20	Borda	0.0
TCGA-BF-A3DJ	min8_cov50	Min-8 + >=50% coverage	Top-N	10	IC50-only	0.1
TCGA-BF-A3DJ	min8_cov50	Min-8 + >=50% coverage	Top-N	20	IC50-only	0.15
TCGA-BF-A3DJ	min8_cov50	Min-8 + >=50% coverage	Top-N	50	IC50-only	0.08571428571428572
TCGA-BF-A3DJ	min8_cov50	Min-8 + >=50% coverage	Top-percentile	1	IC50-only	0.0
TCGA-BF-A3DJ	min8_cov50	Min-8 + >=50% coverage	Top-percentile	5	IC50-only	0.0
TCGA-BF-A3DJ	min8_cov50	Min-8 + >=50% coverage	Top-percentile	10	IC50-only	0.25
TCGA-BF-A3DJ	min8_cov50	Min-8 + >=50% coverage	Top-percentile	20	IC50-only	0.14285714285714285
TCGA-BF-A3DJ	min8_cov70	Min-8 + >=70% coverage	Top-N	10	Borda	0.0
TCGA-BF-A3DJ	min8_cov70	Min-8 + >=70% coverage	Top-N	20	Borda	0.0
TCGA-BF-A3DJ	min8_cov70	Min-8 + >=70% coverage	Top-N	50	Borda	0.0
TCGA-BF-A3DJ	min8_cov70	Min-8 + >=70% coverage	Top-percentile	1	Borda	0.0
TCGA-BF-A3DJ	min8_cov70	Min-8 + >=70% coverage	Top-percentile	5	Borda	0.0
TCGA-BF-A3DJ	min8_cov70	Min-8 + >=70% coverage	Top-percentile	10	Borda	0.0
TCGA-BF-A3DJ	min8_cov70	Min-8 + >=70% coverage	Top-percentile	20	Borda	0.0
TCGA-BF-A3DJ	min8_cov70	Min-8 + >=70% coverage	Top-N	10	IC50-only	0.0
TCGA-BF-A3DJ	min8_cov70	Min-8 + >=70% coverage	Top-N	20	IC50-only	0.0
TCGA-BF-A3DJ	min8_cov70	Min-8 + >=70% coverage	Top-N	50	IC50-only	0.0
TCGA-BF-A3DJ	min8_cov70	Min-8 + >=70% coverage	Top-percentile	1	IC50-only	0.0
TCGA-BF-A3DJ	min8_cov70	Min-8 + >=70% coverage	Top-percentile	5	IC50-only	0.0
TCGA-BF-A3DJ	min8_cov70	Min-8 + >=70% coverage	Top-percentile	10	IC50-only	0.0
TCGA-BF-A3DJ	min8_cov70	Min-8 + >=70% coverage	Top-percentile	20	IC50-only	0.0
TCGA-BF-A3DJ	min8_cov80	Min-8 + >=80% coverage	Top-N	10	Borda	0.0
TCGA-BF-A3DJ	min8_cov80	Min-8 + >=80% coverage	Top-N	20	Borda	0.0
TCGA-BF-A3DJ	min8_cov80	Min-8 + >=80% coverage	Top-N	50	Borda	0.0
TCGA-BF-A3DJ	min8_cov80	Min-8 + >=80% coverage	Top-percentile	1	Borda	0.0
TCGA-BF-A3DJ	min8_cov80	Min-8 + >=80% coverage	Top-percentile	5	Borda	0.0
TCGA-BF-A3DJ	min8_cov80	Min-8 + >=80% coverage	Top-percentile	10	Borda	0.0
TCGA-BF-A3DJ	min8_cov80	Min-8 + >=80% coverage	Top-percentile	20	Borda	0.0
TCGA-BF-A3DJ	min8_cov80	Min-8 + >=80% coverage	Top-N	10	IC50-only	0.0
TCGA-BF-A3DJ	min8_cov80	Min-8 + >=80% coverage	Top-N	20	IC50-only	0.0
TCGA-BF-A3DJ	min8_cov80	Min-8 + >=80% coverage	Top-N	50	IC50-only	0.0
TCGA-BF-A3DJ	min8_cov80	Min-8 + >=80% coverage	Top-percentile	1	IC50-only	0.0
TCGA-BF-A3DJ	min8_cov80	Min-8 + >=80% coverage	Top-percentile	5	IC50-only	0.0
TCGA-BF-A3DJ	min8_cov80	Min-8 + >=80% coverage	Top-percentile	10	IC50-only	0.0
TCGA-BF-A3DJ	min8_cov80	Min-8 + >=80% coverage	Top-percentile	20	IC50-only	0.0
TCGA-BF-A3DL	min8	Min-8 containment	Top-N	10	Borda	0.2
TCGA-BF-A3DL	min8	Min-8 containment	Top-N	20	Borda	0.25
