sample_id	criterion	criterion_label	cutoff_type	cutoff	method	hit_rate	ic50_hit_rate	hit_rate_difference_vs_ic50
TCGA-BF-A3DJ	min8_cov70	Min-8 + >=70% coverage	Top-percentile	5	Borda	0.0	0.0	0.0
TCGA-BF-A3DJ	min8_cov70	Min-8 + >=70% coverage	Top-percentile	10	Borda	0.0	0.0	0.0
TCGA-BF-A3DJ	min8_cov70	Min-8 + >=70% coverage	Top-percentile	20	Borda	0.0	0.0	0.0
TCGA-BF-A3DJ	min8_cov80	Min-8 + >=80% coverage	Top-N	10	Borda	0.0	0.0	0.0
TCGA-BF-A3DJ	min8_cov80	Min-8 + >=80% coverage	Top-N	20	Borda	0.0	0.0	0.0
TCGA-BF-A3DJ	min8_cov80	Min-8 + >=80% coverage	Top-N	50	Borda	0.0	0.0	0.0
TCGA-BF-A3DJ	min8_cov80	Min-8 + >=80% coverage	Top-percentile	1	Borda	0.0	0.0	0.0
TCGA-BF-A3DJ	min8_cov80	Min-8 + >=80% coverage	Top-percentile	5	Borda	0.0	0.0	0.0
TCGA-BF-A3DJ	min8_cov80	Min-8 + >=80% coverage	Top-percentile	10	Borda	0.0	0.0	0.0
TCGA-BF-A3DJ	min8_cov80	Min-8 + >=80% coverage	Top-percentile	20	Borda	0.0	0.0	0.0
TCGA-BF-A3DL	min8	Min-8 containment	Top-N	10	Borda	0.2	0.1	0.1
TCGA-BF-A3DL	min8	Min-8 containment	Top-N	20	Borda	0.25	0.2	0.04999999999999999
TCGA-BF-A3DL	min8	Min-8 containment	Top-N	50	Borda	0.21739130434782608	0.21739130434782608	0.0
TCGA-BF-A3DL	min8	Min-8 containment	Top-percentile	1	Borda	0.0	0.0	0.0
TCGA-BF-A3DL	min8	Min-8 containment	Top-percentile	5	Borda	0.0	0.0	0.0
TCGA-BF-A3DL	min8	Min-8 containment	Top-percentile	10	Borda	0.0	0.0	0.0
TCGA-BF-A3DL	min8	Min-8 containment	Top-percentile	20	Borda	0.2	0.1	0.1
TCGA-BF-A3DL	min8_cov50	Min-8 + >=50% coverage	Top-N	10	Borda	0.1	0.1	0.0
TCGA-BF-A3DL	min8_cov50	Min-8 + >=50% coverage	Top-N	20	Borda	0.15	0.05	0.09999999999999999
TCGA-BF-A3DL	min8_cov50	Min-8 + >=50% coverage	Top-N	50	Borda	0.10869565217391304	0.10869565217391304	0.0
TCGA-BF-A3DL	min8_cov50	Min-8 + >=50% coverage	Top-percentile	1	Borda	0.0	0.0	0.0
TCGA-BF-A3DL	min8_cov50	Min-8 + >=50% coverage	Top-percentile	5	Borda	0.0	0.0	0.0
TCGA-BF-A3DL	min8_cov50	Min-8 + >=50% coverage	Top-percentile	10	Borda	0.0	0.0	0.0
TCGA-BF-A3DL	min8_cov50	Min-8 + >=50% coverage	Top-percentile	20	Borda	0.1	0.1	0.0
TCGA-BF-A3DL	min8_cov70	Min-8 + >=70% coverage	Top-N	10	Borda	0.0	0.0	0.0
TCGA-BF-A3DL	min8_cov70	Min-8 + >=70% coverage	Top-N	20	Borda	0.05	0.0	0.05
TCGA-BF-A3DL	min8_cov70	Min-8 + >=70% coverage	Top-N	50	Borda	0.021739130434782608	0.021739130434782608	0.0
TCGA-BF-A3DL	min8_cov70	Min-8 + >=70% coverage	Top-percentile	1	Borda	0.0	0.0	0.0
TCGA-BF-A3DL	min8_cov70	Min-8 + >=70% coverage	Top-percentile	5	Borda	0.0	0.0	0.0
TCGA-BF-A3DL	min8_cov70	Min-8 + >=70% coverage	Top-percentile	10	Borda	0.0	0.0	0.0
TCGA-BF-A3DL	min8_cov70	Min-8 + >=70% coverage	Top-percentile	20	Borda	0.0	0.0	0.0
TCGA-BF-A3DL	min8_cov80	Min-8 + >=80% coverage	Top-N	10	Borda	0.0	0.0	0.0
TCGA-BF-A3DL	min8_cov80	Min-8 + >=80% coverage	Top-N	20	Borda	0.0	0.0	0.0
TCGA-BF-A3DL	min8_cov80	Min-8 + >=80% coverage	Top-N	50	Borda	0.0	0.0	0.0
TCGA-BF-A3DL	min8_cov80	Min-8 + >=80% coverage	Top-percentile	1	Borda	0.0	0.0	0.0
TCGA-BF-A3DL	min8_cov80	Min-8 + >=80% coverage	Top-percentile	5	Borda	0.0	0.0	0.0
TCGA-BF-A3DL	min8_cov80	Min-8 + >=80% coverage	Top-percentile	10	Borda	0.0	0.0	0.0
TCGA-BF-A3DL	min8_cov80	Min-8 + >=80% coverage	Top-percentile	20	Borda	0.0	0.0	0.0
TCGA-BF-A3DM	min8	Min-8 containment	Top-N	10	Borda	0.3	0.4	-0.10000000000000003
TCGA-BF-A3DM	min8	Min-8 containment	Top-N	20	Borda	0.3	0.2	0.09999999999999998
TCGA-BF-A3DM	min8	Min-8 containment	Top-N	50	Borda	0.2	0.22	-0.01999999999999999
TCGA-BF-A3DM	min8	Min-8 containment	Top-percentile	1	Borda	0.0	1.0	-1.0
