sample_name,fastq_R1,fastq_R2,datatype,lane
Sample_bN5-2,/data/fsluma/pipelines/Epitope_Generation_Gateway/data/erkko_glioblastoma_rawdata_external/Minna_2023/bN5-2_1.fastq.gz,/data/fsluma/pipelines/Epitope_Generation_Gateway/data/erkko_glioblastoma_rawdata_external/Minna_2023/bN5-2_2.fastq.gz,CancerRNA,LRNA
Sample_bN9t,/data/fsluma/pipelines/Epitope_Generation_Gateway/data/erkko_glioblastoma_rawdata_external/Minna_20_12_2024/RNA_seq_part2/bN9t_1.fastq.gz,/data/fsluma/pipelines/Epitope_Generation_Gateway/data/erkko_glioblastoma_rawdata_external/Minna_20_12_2024/RNA_seq_part2/bN9t_2.fastq.gz,CancerRNA,LRNA
Sample_b019t,/data/fsluma/pipelines/Epitope_Generation_Gateway/data/erkko_glioblastoma_rawdata_external/Minna_20_12_2024/RNA_seq_part2/b019t_1.fastq.gz,/data/fsluma/pipelines/Epitope_Generation_Gateway/data/erkko_glioblastoma_rawdata_external/Minna_20_12_2024/RNA_seq_part2/b019t_2.fastq.gz,CancerRNA,LRNA
Sample_b042t,/data/fsluma/pipelines/Epitope_Generation_Gateway/data/erkko_glioblastoma_rawdata_external/Minna_20_12_2024/RNA_seq_part2/b042t_1.fastq.gz,/data/fsluma/pipelines/Epitope_Generation_Gateway/data/erkko_glioblastoma_rawdata_external/Minna_20_12_2024/RNA_seq_part2/b042t_2.fastq.gz,CancerRNA,LRNA
Sample_b034t,/data/fsluma/pipelines/Epitope_Generation_Gateway/data/erkko_glioblastoma_rawdata_external/Minna_20_12_2024/RNA_seq_part1/b034t_1.fastq.gz,/data/fsluma/pipelines/Epitope_Generation_Gateway/data/erkko_glioblastoma_rawdata_external/Minna_20_12_2024/RNA_seq_part1/b034t_2.fastq.gz,CancerRNA,LRNA
Sample_b032t,/data/fsluma/pipelines/Epitope_Generation_Gateway/data/erkko_glioblastoma_rawdata_external/Minna_20_12_2024/RNA_seq_part2/b032t_1.fastq.gz,/data/fsluma/pipelines/Epitope_Generation_Gateway/data/erkko_glioblastoma_rawdata_external/Minna_20_12_2024/RNA_seq_part2/b032t_2.fastq.gz,CancerRNA,LRNA
Sample_b023t,/data/fsluma/pipelines/Epitope_Generation_Gateway/data/erkko_glioblastoma_rawdata_external/Minna_20_12_2024/RNA_seq_part2/b023t_1.fastq.gz,/data/fsluma/pipelines/Epitope_Generation_Gateway/data/erkko_glioblastoma_rawdata_external/Minna_20_12_2024/RNA_seq_part2/b023t_2.fastq.gz,CancerRNA,LRNA
Sample_b041t,/data/fsluma/pipelines/Epitope_Generation_Gateway/data/erkko_glioblastoma_rawdata_external/Minna_20_12_2024/RNA_seq_part2/b041t_1.fastq.gz,/data/fsluma/pipelines/Epitope_Generation_Gateway/data/erkko_glioblastoma_rawdata_external/Minna_20_12_2024/RNA_seq_part2/b041t_2.fastq.gz,CancerRNA,LRNA
